file,cluster,split
000000.npy,7,train
000001.npy,11,train
000002.npy,11,train
000003.npy,11,train
000004.npy,0,train
000005.npy,4,train
000006.npy,4,train
000007.npy,4,train
000008.npy,3,train
000009.npy,3,train
000010.npy,3,train
000011.npy,3,train
000012.npy,4,train
000013.npy,5,train
000014.npy,5,train
000015.npy,5,train
000016.npy,5,train
000017.npy,2,val
000018.npy,2,val
000019.npy,2,val
000020.npy,2,val
000021.npy,11,train
000022.npy,11,train
000023.npy,11,train
000024.npy,3,train
000025.npy,4,train
000026.npy,4,train
000027.npy,4,train
000028.npy,2,val
000029.npy,8,train
000030.npy,8,train
000031.npy,8,train
000032.npy,2,val
000033.npy,2,val
000034.npy,2,val
000035.npy,2,val
000036.npy,11,train
000037.npy,2,val
000038.npy,2,val
000039.npy,2,val
000040.npy,3,train
000041.npy,3,train
000042.npy,3,train
000043.npy,3,train
000044.npy,0,train
000045.npy,8,train
000046.npy,8,train
000047.npy,8,train
000048.npy,7,train
000049.npy,8,train
000050.npy,8,train
000051.npy,8,train
000052.npy,2,val
000053.npy,0,train
000054.npy,0,train
000055.npy,1,train
000056.npy,1,train
000057.npy,8,train
000058.npy,8,train
000059.npy,8,train
000060.npy,10,train
000061.npy,8,train
000062.npy,8,train
000063.npy,8,train
000064.npy,9,val
000065.npy,11,train
000066.npy,11,train
000067.npy,6,train
000068.npy,10,train
000069.npy,7,train
000070.npy,7,train
000071.npy,7,train
000072.npy,0,train
000073.npy,3,train
000074.npy,3,train
000075.npy,3,train
000076.npy,1,train
000077.npy,7,train
000078.npy,4,train
000079.npy,7,train
000080.npy,2,val
000081.npy,1,train
000082.npy,1,train
000083.npy,1,train
000084.npy,11,train
000085.npy,2,val
000086.npy,3,train
000087.npy,3,train
000088.npy,9,val
000089.npy,8,train
000090.npy,8,train
000091.npy,8,train
000092.npy,11,train
000093.npy,7,train
000094.npy,7,train
000095.npy,7,train
000096.npy,3,train
000097.npy,1,train
000098.npy,11,train
000099.npy,1,train
000100.npy,1,train
000101.npy,3,train
000102.npy,3,train
000103.npy,8,train
000104.npy,6,train
000105.npy,1,train
000106.npy,4,train
000107.npy,1,train
000108.npy,1,train
000109.npy,0,train
000110.npy,7,train
000111.npy,7,train
000112.npy,0,train
000113.npy,8,train
000114.npy,8,train
000115.npy,5,train
000116.npy,8,train
000117.npy,11,train
000118.npy,11,train
000119.npy,11,train
000120.npy,10,train
000121.npy,1,train
000122.npy,0,train
000123.npy,1,train
000124.npy,1,train
000125.npy,1,train
000126.npy,1,train
000127.npy,1,train
000128.npy,6,train
000129.npy,3,train
