file,shape,dtype,min,max,mean,std
000000.npy,"(256, 256)",float32,0.0,1.0,0.21819251775741577,0.2395055592060089
000001.npy,"(256, 256)",float32,0.0,1.0,0.3265194594860077,0.15751011669635773
000002.npy,"(256, 256)",float32,0.0,1.0,0.30539199709892273,0.15157465636730194
000003.npy,"(256, 256)",float32,0.0,1.0,0.29946306347846985,0.14394237101078033
000004.npy,"(256, 256)",float32,0.0,1.0,0.3573180139064789,0.18404711782932281
000005.npy,"(256, 256)",float32,0.0,1.0,0.26813095808029175,0.05756101384758949
000006.npy,"(256, 256)",float32,0.0,1.0,0.2682986259460449,0.05740673840045929
000007.npy,"(256, 256)",float32,0.0,1.0,0.2674599885940552,0.05786827951669693
000008.npy,"(256, 256)",float32,0.0,1.0,0.5247976779937744,0.22871150076389313
000009.npy,"(256, 256)",float32,0.0,1.0,0.5286860466003418,0.219087153673172
000010.npy,"(256, 256)",float32,0.0,1.0,0.4971145987510681,0.2052314430475235
000011.npy,"(256, 256)",float32,0.0,1.0,0.5361909866333008,0.2197335958480835
000012.npy,"(256, 256)",float32,0.0,1.0,0.25262999534606934,0.18360508978366852
000013.npy,"(256, 256)",float32,0.0,1.0,0.7827011346817017,0.24861189723014832
000014.npy,"(256, 256)",float32,0.0,1.0,0.7956048250198364,0.23681671917438507
000015.npy,"(256, 256)",float32,0.0,1.0,0.760299801826477,0.2678641974925995
000016.npy,"(256, 256)",float32,0.0,1.0,0.798313558101654,0.1914239376783371
000017.npy,"(256, 256)",float32,0.0,1.0,0.5930761098861694,0.19894270598888397
000018.npy,"(256, 256)",float32,0.0,1.0,0.5999201536178589,0.19467541575431824
000019.npy,"(256, 256)",float32,0.0,1.0,0.5951474905014038,0.1982548087835312
000020.npy,"(256, 256)",float32,0.0,1.0,0.5857430696487427,0.19666044414043427
000021.npy,"(256, 256)",float32,0.0,1.0,0.3839006721973419,0.13945521414279938
000022.npy,"(256, 256)",float32,0.0,1.0,0.3717043995857239,0.13415004312992096
000023.npy,"(256, 256)",float32,0.0,1.0,0.37156081199645996,0.13353024423122406
000024.npy,"(256, 256)",float32,0.0,1.0,0.3919004499912262,0.18970657885074615
000025.npy,"(256, 256)",float32,0.0,1.0,0.2421562224626541,0.15690040588378906
000026.npy,"(256, 256)",float32,0.0,1.0,0.24135351181030273,0.15476641058921814
000027.npy,"(256, 256)",float32,0.0,1.0,0.24094393849372864,0.1544937789440155
000028.npy,"(256, 256)",float32,0.0,1.0,0.6826687455177307,0.20872391760349274
000029.npy,"(256, 256)",float32,0.0,1.0,0.5083960294723511,0.18749727308750153
000030.npy,"(256, 256)",float32,0.0,1.0,0.49122780561447144,0.18888460099697113
000031.npy,"(256, 256)",float32,0.0,1.0,0.508265495300293,0.18755531311035156
000032.npy,"(256, 256)",float32,0.0,1.0,0.6567187905311584,0.2924383878707886
000033.npy,"(256, 256)",float32,0.0,1.0,0.5857222080230713,0.3082139194011688
000034.npy,"(256, 256)",float32,0.0,1.0,0.6352777481079102,0.3003483712673187
000035.npy,"(256, 256)",float32,0.0,1.0,0.5904329419136047,0.3065716624259949
000036.npy,"(256, 256)",float32,0.0,1.0,0.39969712495803833,0.09860200434923172
000037.npy,"(256, 256)",float32,0.0,1.0,0.6059940457344055,0.18124759197235107
000038.npy,"(256, 256)",float32,0.0,1.0,0.590570330619812,0.17016558349132538
000039.npy,"(256, 256)",float32,0.0,1.0,0.5931395292282104,0.17871145904064178
000040.npy,"(256, 256)",float32,0.0,1.0,0.4605054259300232,0.17397117614746094
000041.npy,"(256, 256)",float32,0.0,1.0,0.3893156051635742,0.24827079474925995
000042.npy,"(256, 256)",float32,0.0,1.0,0.3692658841609955,0.2541308104991913
000043.npy,"(256, 256)",float32,0.0,1.0,0.3775860071182251,0.257782518863678
000044.npy,"(256, 256)",float32,0.0,1.0,0.34840112924575806,0.30329573154449463
000045.npy,"(256, 256)",float32,0.0,1.0,0.5309340357780457,0.18813757598400116
000046.npy,"(256, 256)",float32,0.0,1.0,0.5324128866195679,0.19624263048171997
000047.npy,"(256, 256)",float32,0.0,1.0,0.53110671043396,0.1909523457288742
000048.npy,"(256, 256)",float32,0.0,1.0,0.184197336435318,0.2473462074995041
000049.npy,"(256, 256)",float32,0.0,1.0,0.4743168354034424,0.13608360290527344
000050.npy,"(256, 256)",float32,0.0,1.0,0.47780731320381165,0.1366328001022339
000051.npy,"(256, 256)",float32,0.0,1.0,0.4768681526184082,0.13750945031642914
000052.npy,"(256, 256)",float32,0.0,1.0,0.6561179757118225,0.10555342584848404
000053.npy,"(256, 256)",float32,0.0,1.0,0.41089385747909546,0.22424548864364624
000054.npy,"(256, 256)",float32,0.0,1.0,0.41071775555610657,0.21521155536174774
000055.npy,"(256, 256)",float32,0.0,1.0,0.3278080224990845,0.19726614654064178
000056.npy,"(256, 256)",float32,0.0,1.0,0.32294943928718567,0.23804894089698792
000057.npy,"(256, 256)",float32,0.0,1.0,0.5099524855613708,0.1805441826581955
000058.npy,"(256, 256)",float32,0.0,1.0,0.5187370181083679,0.18289586901664734
000059.npy,"(256, 256)",float32,0.0,1.0,0.5079063177108765,0.17899690568447113
000060.npy,"(256, 256)",float32,0.0,1.0,0.5940645337104797,0.23212707042694092
000061.npy,"(256, 256)",float32,0.0,1.0,0.4461348056793213,0.1215784028172493
000062.npy,"(256, 256)",float32,0.0,1.0,0.4349095821380615,0.12354719638824463
000063.npy,"(256, 256)",float32,0.0,1.0,0.4863748550415039,0.11535846441984177
000064.npy,"(256, 256)",float32,0.0,1.0,0.7370249032974243,0.28671273589134216
000065.npy,"(256, 256)",float32,0.0,1.0,0.3758687376976013,0.1415325403213501
000066.npy,"(256, 256)",float32,0.0,1.0,0.3727946877479553,0.1443699151277542
000067.npy,"(256, 256)",float32,0.0,1.0,0.45428866147994995,0.17701511085033417
000068.npy,"(256, 256)",float32,0.0,1.0,0.537845253944397,0.23685258626937866
000069.npy,"(256, 256)",float32,0.0,1.0,0.16875317692756653,0.15721794962882996
000070.npy,"(256, 256)",float32,0.0,1.0,0.16983915865421295,0.156873881816864
000071.npy,"(256, 256)",float32,0.0,1.0,0.16850398480892181,0.15699709951877594
000072.npy,"(256, 256)",float32,0.0,1.0,0.3663230538368225,0.2756536900997162
000073.npy,"(256, 256)",float32,0.0,1.0,0.5070362091064453,0.2716778516769409
000074.npy,"(256, 256)",float32,0.0,1.0,0.5051900148391724,0.274997740983963
000075.npy,"(256, 256)",float32,0.0,1.0,0.5027741193771362,0.27461785078048706
000076.npy,"(256, 256)",float32,0.0,1.0,0.28637054562568665,0.20243202149868011
000077.npy,"(256, 256)",float32,0.0,1.0,0.1693154126405716,0.1212739646434784
000078.npy,"(256, 256)",float32,0.0,1.0,0.2315443456172943,0.12257569283246994
000079.npy,"(256, 256)",float32,0.0,1.0,0.16708603501319885,0.10402742028236389
000080.npy,"(256, 256)",float32,0.0,1.0,0.6011473536491394,0.15880943834781647
000081.npy,"(256, 256)",float32,0.0,1.0,0.22418439388275146,0.22569043934345245
000082.npy,"(256, 256)",float32,0.0,1.0,0.21772220730781555,0.23440080881118774
000083.npy,"(256, 256)",float32,0.0,1.0,0.21129214763641357,0.23369082808494568
000084.npy,"(256, 256)",float32,0.0,1.0,0.3185747563838959,0.15700273215770721
000085.npy,"(256, 256)",float32,0.0,1.0,0.6014708280563354,0.26942145824432373
000086.npy,"(256, 256)",float32,0.0,1.0,0.5367860794067383,0.28538596630096436
000087.npy,"(256, 256)",float32,0.0,1.0,0.5743809938430786,0.27845579385757446
000088.npy,"(256, 256)",float32,0.0,1.0,0.5806182622909546,0.34501221776008606
000089.npy,"(256, 256)",float32,0.0,1.0,0.46635714173316956,0.1632584035396576
000090.npy,"(256, 256)",float32,0.0,1.0,0.48043137788772583,0.16221828758716583
000091.npy,"(256, 256)",float32,0.0,1.0,0.4852854311466217,0.16085074841976166
000092.npy,"(256, 256)",float32,0.0,1.0,0.3373020589351654,0.14542412757873535
000093.npy,"(256, 256)",float32,0.0,1.0,0.15362995862960815,0.11855875700712204
000094.npy,"(256, 256)",float32,0.0,1.0,0.16786649823188782,0.13229455053806305
000095.npy,"(256, 256)",float32,0.0,1.0,0.15064746141433716,0.1186293438076973
